from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
32583;20763;1003;270.0;34;1458:34
32583;18462;12879;1800.0;1;1458:1
32583;10707;12306;1500.0;2;1458:2
32583;18463;12924;1800.0;1;1458:1
7241;36816;769;220.0;3;737:3
7241;32028;942;285.0;4;737:4
28066;3381;406;180.0;43;1458:10,1463:33
28066;18462;1243;345.88235294117646;34;1458:8,1463:26
28066;18463;1248;360.0;7;1463:7
30286;31211;1301;1200.0;25;738:4,741:13,734:2,735:6
30286;23798;1232;300.0;10;734:10
28879;28880;725;600.0;9;726:9
28879;15935;417;60.0;8;726:8
28880;26138;945;300.0;10;726:10
28880;28879;725;546.6666666666666;9;726:9
20818;19187;8417;1200.0;8;720:8
20818;6076;1935;600.0;6;717:6
20818;6077;1762;600.0;2;717:2
20818;774;9016;1200.0;2;720:2
21587;21586;2934;1744.6153846153845;13;714:13
13781;29744;824;300.0;3;731:3
13781;15030;1007;286.15384615384613;13;731:13
7332;17581;2893;600.0;5;1458:5
7332;7331;918;360.0;23;1458:23
7332;3381;1962;480.0;4;1458:4
7332;18462;2325;660.0;18;1458:18
7332;18463;2371;580.0;3;1458:3
36815;18468;804;273.9130434782609;23;1458:23
36815;7358;576;169.56521739130434;23;1458:23
28067;3382;510;180.0;32;1468:32
28067;18463;1519;358.125;32;1468:32
36816;7241;769;435.0;4;737:4
36816;31211;5406;1140.0;1;737:1
36816;32029;796;240.0;1;737:1
17002;10707;1192;521.8181818181819;33;1463:33
17002;7332;924;300.0;5;1458:5
17002;3381;1329;360.0;33;1463:33
17581;7332;2893;600.0;4;1458:4
17581;10707;4693;888.0;10;1458:10
17581;18468;1493;300.0;19;1458:19
17581;2093;1428;300.0;38;1458:38
17581;18462;5214;780.0;3;1458:3
10085;18465;2616;708.0;5;1475:5
10085;34972;817;348.0;5;1475:5
10085;18461;1282;360.0;1;1475:1
18024;5736;260;410.0;6;743:6
18024;31735;10899;2100.0;2;743:2
35945;7345;1274;240.0;33;1458:33
35945;2093;406;180.0;36;1458:36
31210;33131;9554;1163.5294117647059;51;746:49,743:2
31210;23605;3891;720.0;3;737:3
31210;23798;1232;336.0;5;737:5
31210;6328;6834;1242.857142857143;7;739:7
31210;29734;3151;1265.4545454545455;11;741:11
31210;31211;1311;860.0;3;737:1,734:2
31210;31212;4421;1044.0;5;738:5
31210;6410;1548;514.2857142857143;7;735:7
31210;18461;1858;1100.0;6;736:6
33131;6328;4788;600.0;20;736:5,740:7,742:8
33131;18464;9469;1800.0;43;1448:43
33131;31210;9554;1166.0377358490566;53;746:53
31212;31210;4421;1800.0;1;738:1
31212;30286;4459;2145.0;4;738:4
21586;21587;2934;1740.0;13;714:13
12911;11682;1691;254.11764705882354;34;1458:34
12911;20763;1622;300.0;36;1458:36
5736;18024;260;228.0;5;743:5
5736;17002;1303;540.0;33;1463:33
5736;23798;2491;780.0;6;743:6
19187;20818;8417;1500.0;2;720:2
19187;774;681;566.6666666666666;9;720:9
7358;7331;705;169.56521739130434;23;1458:23
7358;36815;576;166.95652173913044;23;1458:23
23798;36816;5124;1500.0;1;737:1
23798;23605;3398;660.0;1;737:1
23798;31735;8542;1200.0;4;743:4
23798;5736;2491;816.0;5;743:5
23798;31210;1232;480.0;2;743:2
23798;31211;2517;872.7272727272727;11;737:1,734:10
31735;18024;10899;1950.0;4;743:4
31735;23798;8542;1200.0;5;743:5
37545;29736;319;120.0;26;1472:26
37545;29735;326;188.57142857142858;21;1472:21
6269;6272;1680;900.0;11;723:11
6269;4034;1687;900.0;4;723:4
