from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
22227;30024;8480;720.0;5;10:5
22227;33726;2307;228.0;6;10:6
22227;3695;1506;137.59459459459458;74;10:74
10214;25456;1137;90.0;27;12:27
11819;24814;805;89.43243243243244;74;10:3,11:71
7969;30515;1949;131.9277108433735;83;12:83
18149;24264;1291;96.06593406593407;91;6:91
18149;36962;2594;198.0;6;3:6
17126;35970;30510;1860.0;1;1173:1
17126;30020;10430;845.0;1;1:1
17126;38797;1170;179.0;1;1:1
17126;34773;41334;2640.0;1;1174:1
18151;9155;1252;108.0;103;6:103
17128;34572;19962;1440.0;1;1161:1
17128;30020;10447;845.0;1;1:1
17128;30022;10431;719.125;8;1:7,1188:1
17129;38797;1172;179.0;2;1:2
17129;30022;10436;718.8666666666667;15;1:15
17130;34773;41370;2520.0;1;1182:1
17130;30022;10407;720.0;1;1186:1
17132;30022;10427;720.0;1;1170:1
8481;30779;1510;156.16;75;10:3,11:72
8481;37819;2958;246.0;12;11:12
26350;24978;978;90.0;48;12:48
26351;9874;2814;239.1;20;12:20
26351;24982;980;90.0;48;12:48
36592;30021;4554;354.0;2;7:2
36592;951;1951;131.82857142857142;70;7:70
17137;31693;1115;89.0;56;12:56
8958;13384;1137;114.0;198;3:6,6:192
8959;24099;1720;126.0;198;3:6,6:192
15104;8481;2134;179.85882352941175;85;10:3,11:82
35627;21187;841;78.0;73;6:73
32516;38691;3521;282.0;5;10:5
32516;24118;2079;126.0;138;10:73,11:40,13:25
34774;24741;41377;2200.0;3;1177:1,1179:1,1175:1
34774;31431;1851;180.0;1;1173:1
34774;17130;41368;2100.0;1;1183:1
34774;6634;2063;137.98591549295776;71;9:63,10:7,13:1
34774;17132;41381;2520.0;1;1185:1
34774;35965;12518;540.0;1;1173:1
34571;30018;10178;737.5;12;8:9,1:3
34571;30021;10184;660.0;1;8:1
34571;18438;1842;147.33333333333334;9;8:9
34571;30023;10182;656.2857142857143;42;8:13,1:28,1189:1
34571;24744;19979;1560.0;1;1161:1
34571;6091;6331;420.0;9;8:9
34571;38796;19691;1320.0;8;8:8
34572;14820;1864;150.0;24;8:24
34572;14822;1863;150.0;22;8:22
34572;35831;29565;1334.4;10;1:8,1186:1,1161:1
34572;11096;10569;536.2285714285714;35;8:11,1:24
34572;11097;10567;600.0;1;8:1
34572;11099;10572;540.0;1;1188:1
34573;6097;6328;420.0;30;8:30
34573;14822;1863;150.0;1;8:1
34573;18438;1829;156.0;1;8:1
34573;18439;1839;150.0;13;8:13
34573;30023;10179;720.0;1;1:1
34573;9773;708;60.0;79;8:54,13:25
34574;14820;1864;150.0;2;8:2
34574;14822;1863;149.67567567567568;111;8:87,13:24
34776;31431;1772;180.0;18;1173:18
787;19374;1753;179.01063829787233;94;12:88,4:6
788;19374;1753;179.0408163265306;98;12:96,4:2
31705;19896;1151;126.0;155;10:153,11:2
31705;13984;1149;142.8;5;11:5
23320;24051;1469;150.36;50;10:2,11:48
23323;37822;1071;243.52941176470588;51;11:51
23323;30119;1190;120.0;1;10:1
6886;21577;979;101.87096774193549;93;10:69,13:24
6886;15589;3040;210.0;6;10:6
6886;28390;2401;174.0;44;10:2,11:42
11226;29626;1499;144.5;84;11:84
11226;38799;3864;312.0;1;11:1
7966;35130;1552;112.3076923076923;78;12:78
38688;18629;1494;154.1764705882353;34;11:33,13:1
38689;18629;1493;155.0;3;11:3
38689;6886;3468;269.0;1;10:1
38689;34271;3167;209.0;13;10:13
38690;18629;1493;106.38;100;10:71,11:6,13:23
38690;6886;3465;234.0;5;10:5
38691;19832;6136;348.0;5;10:5
38691;34271;3165;210.82105263157894;95;10:73,13:22
10886;25586;975;106.0;72;7:72
30503;34284;2413;132.0;58;8:58
30504;8744;2356;156.0;6;8:6
30505;34285;2411;132.0;12;8:12
35626;10100;2152;150.0;71;6:71
30507;8747;2361;157.2923076923077;65;8:65
19247;33728;731;66.0;73;10:73
19248;33393;847;66.0;74;10:74
29624;11236;1471;162.0;85;10:3,11:82
30516;36961;1664;132.0;4;6:4
30516;36963;1659;120.15584415584415;77;6:77
30517;7640;1857;138.0;93;6:93
30518;7966;1947;126.0;78;12:78
26249;11226;1213;210.42857142857142;84;11:84
7993;7824;8362;442.5;8;3:8
7993;11792;3663;222.0;2;3:2
7993;30343;10223;566.0;21;3:21
7994;11792;3667;239.0;36;6:36
7994;2236;3757;249.69230769230768;13;3:13
7995;22787;22070;1470.0;4;3:4
7995;2236;3761;276.0;13;3:13
5345;35965;3188;209.35384615384615;65;10:65
37697;22787;11334;733.5;4;3:4
37697;8068;6715;410.1818181818182;22;3:22
37698;2234;7250;545.5;24;3:24
9575;8272;2464;270.0;1;9:1
9575;8273;2462;269.35714285714283;140;9:140
9575;8271;2455;330.0;1;9:1
29509;4784;1609;120.07407407407408;81;8:57,13:24
29510;14819;1408;143.08235294117648;85;8:60,13:25
3553;15513;2115;144.0;95;10:70,13:25
3553;15590;5173;330.0;5;10:5
29512;4785;1607;120.0;2;8:2
35285;35832;2335;179.0;7;8:7
35285;21402;4062;342.0;29;1:29
35285;35762;5354;534.0;3;1:3
12235;31988;938;90.0;53;12:53
847;19373;1411;119.74869109947645;191;12:179,4:12
848;37494;1172;120.0;192;12:184,4:8
18258;19944;1405;102.0;44;10:2,11:42
14819;34571;1908;177.75;16;8:16
14819;34573;1909;178.71074380165288;121;8:96,13:25
11092;11297;2551;140.1206896551724;58;8:42,13:16
11092;13473;2678;210.0;2;8:2
11093;34571;10626;599.0;2;8:2
11093;13471;2784;197.75;8;8:6,13:2
8022;38799;1545;143.75;72;11:72
12474;3579;3493;186.0;75;8:75
11096;8744;8122;367.7142857142857;7;8:7
11096;9707;3606;288.0;10;8:10
11096;34286;3609;209.0;6;8:6
11096;35831;19645;787.5;24;1:24
11097;8747;8122;420.0;1;8:1
11097;9707;3606;198.54545454545453;55;8:55
11098;13473;2733;174.0;4;8:4
11098;34571;10572;480.0;1;1189:1
11098;13471;2732;155.4915254237288;59;8:57,13:2
11099;13473;2733;150.0;7;8:7
11099;34571;10571;518.3333333333334;36;8:14,1:22
11099;34573;10572;540.0;1;1:1
11099;35831;19646;720.0;1;1188:1
11099;13471;2732;189.0;3;8:2,13:1
3932;6228;2435;180.0;22;1173:22
3934;31430;5968;363.0;20;1173:20
2533;11231;14654;816.0;6;9:6
2533;423;1600;132.0;46;9:46
32787;23580;1451;179.0;47;11:47
35320;11356;17174;1203.157894736842;19;4:19
35320;11426;12844;675.0;2;4:2
35320;2475;1367;180.0;1;12:1
35320;8436;1599;111.42857142857143;21;12:18,4:3
35320;19377;1892;120.0;25;12:25
26250;21161;4660;342.0;11;11:11
26250;11819;1188;102.0;74;10:3,11:71
32913;18442;568;90.0;49;8:46,10:3
12236;24979;948;87.06976744186046;43;12:43
38766;21186;1424;132.0;71;6:71
38767;13943;1309;114.0;73;6:73
25456;10719;854;72.0;27;12:27
19944;30118;1067;114.27272727272727;44;10:2,11:42
25458;10722;855;90.0;47;12:47
25459;10211;1138;91.35849056603773;53;12:53
10100;30338;1953;210.0;66;6:66
10100;30339;1954;210.0;1;6:1
10100;30342;1947;210.0;2;6:2
10100;30343;1947;225.0;2;6:2
10101;35627;2149;150.0;73;6:73
19324;6251;3296;180.0;38;8:38
19324;33271;3299;258.0;38;8:38
6634;35712;2825;162.0;115;9:72,10:20,13:23
35712;30056;3924;198.05217391304348;115;9:72,10:20,13:23
35713;1365;2834;180.0;120;9:75,10:23,13:22
9707;30507;2362;135.04615384615386;65;8:65
8068;22787;6236;344.72727272727275;22;3:22
8069;37698;6717;409.2;20;3:20
7046;35321;1601;102.54545454545455;44;12:42,4:2
30017;33432;10511;780.0;1;3:1
30017;24745;10465;780.0;4;3:4
30017;33437;10494;780.0;1;3:1
30017;19433;1136;102.0;70;7:70
38796;8272;1162;129.0;2;11:2
38796;22654;1159;149.83410138248848;217;8:147,7:70
38797;32803;14525;816.0;1;8:1
38797;30022;9909;570.0;11;1:5,3:6
38797;28118;5762;552.75;16;4:16
38798;31696;1173;186.0;3;4:3
38798;17128;1168;180.0;2;1:2
38798;31698;1172;180.0;2;3:2
38798;17126;1167;180.0;3;1:1,3:2
38798;24745;1169;180.0;3;3:3
38798;24744;1169;180.0;3;4:1,7:2
38798;17129;1168;180.0;5;1:5
38798;33432;1175;176.72727272727272;11;3:1,4:10
38798;17127;1167;180.0;2;1:2
38798;17132;1229;180.0;1;4:1
38798;33437;1172;180.0;2;3:1,14:1
38799;8272;1152;138.0;19;9:6,11:13
38799;31692;1151;138.0;90;11:90
38801;17132;1234;204.0;1;4:1
38801;31692;1158;137.73417721518987;158;10:146,11:9,7:3
38801;22654;1158;144.0;2;10:1,11:1
38802;34349;1241;90.0;74;9:74
35833;34571;29567;1320.0;1;1:1
35833;12474;2391;191.35294117647058;34;8:34
35833;11099;19642;836.5714285714286;7;1:7
10887;36592;1684;113.83333333333333;72;7:72
21402;35762;2082;222.0;29;1:29
4002;28861;1950;185.625;16;3:16
4003;30017;9122;530.0;6;3:6
4003;37098;1138;102.0;1;7:1
4003;25585;2031;138.0;2;7:2
4003;30021;9101;533.2258064516129;31;3:31
4003;30023;9104;532.0;3;3:3
4004;28861;1950;188.70967741935485;31;3:29,7:2
4004;28862;1908;178.69565217391303;69;7:69
4005;37097;1145;102.0;69;7:69
4005;30021;9102;510.0;1;3:1
26951;29053;2050;132.0;74;9:74
19373;787;1758;179.81052631578947;95;12:90,4:5
19373;788;1758;180.5625;96;12:89,4:7
19374;848;1415;120.0;192;12:184,4:8
35761;15698;5350;570.0;3;1:3
35761;29991;2075;216.0;29;1:29
35762;6467;3012;276.0;32;1:32
24051;6097;1465;208.8;5;10:2,11:3
24051;32787;1450;209.45454545454547;44;11:44
24051;38084;1455;210.0;1;11:1
951;15441;1218;90.0;70;7:70
952;25701;1951;125.14285714285714;70;7:70
953;25700;1954;120.0;1;7:1
953;25701;1952;120.0;1;7:1
29626;8022;895;83.91666666666667;72;11:72
29626;38799;2393;198.0;12;11:12
37819;23320;1074;267.4117647058824;51;11:51
37819;30119;1433;180.0;43;10:3,11:40
15103;27320;1966;150.0;12;11:12
15103;33294;1130;90.0;72;11:72
33728;3696;808;78.0;73;10:73
9155;13331;1499;144.0;104;6:104
9156;18149;1259;108.0;91;6:91
13473;14821;6108;306.0;18;8:18
31052;27072;2215;168.1578947368421;38;8:38
31052;6252;2269;150.0;38;8:38
35831;15698;2338;180.0;19;8:19
35831;35285;2332;163.53846153846155;39;8:7,1:32
35831;12638;13510;1380.0;1;1161:1
35831;12474;2389;191.5;6;8:6
31692;4063;1163;161.0;254;9:151,10:3,11:100
12237;9878;1081;178.0;15;12:15
12237;9879;1085;127.63636363636364;33;12:33
31694;17137;1118;119.60655737704919;61;12:61
31694;24746;1160;121.36363636363636;22;12:22
12239;9874;1091;120.0;48;12:48
31696;38797;1176;179.0;2;4:2
6097;24706;2371;180.08823529411765;68;10:68
6097;30019;4599;331.0;6;10:6
6097;30018;4615;326.58947368421053;95;8:95
6097;30023;4627;342.0;1;8:1
31698;30020;10489;989.0;1;3:1
31698;38797;1175;179.0;2;3:2
31698;30022;10473;719.0;1;3:1
31699;38797;1174;179.0;1;3:1
31699;30022;10468;719.0;2;3:2
34772;6634;2062;137.77272727272728;44;9:9,10:13,13:22
34773;31429;1843;178.73684210526315;38;9:38
34773;31430;1845;180.0;8;9:8
34773;31431;1848;178.33333333333334;18;9:14,10:1,1173:3
15888;11356;17173;1218.0;2;4:2
15888;19377;1893;120.0;1;12:1
15888;11426;12844;666.0;1;4:1
15888;2475;1359;179.6219512195122;82;12:82
15888;8436;1598;125.78571428571429;28;12:27,4:1
5079;19632;1474;90.0;59;9:59
5080;25690;2609;168.39344262295083;61;9:61
5081;19632;1476;119.0;2;9:2
31706;19896;1151;125.16666666666667;6;10:1,7:5
31706;36832;1158;119.86915887850468;214;8:146,1:1,7:67
4059;25858;864;96.0;217;3:6,6:211
4060;31706;1173;179.91780821917808;219;3:6,6:213
4061;37495;796;89.75257731958763;194;12:179,4:15
4062;8275;1214;120.0;195;12:184,4:11
4063;25859;869;120.0;256;9:151,10:3,11:102
36832;19432;8869;528.0882352941177;136;8:69,7:67
36832;34572;19701;1170.0;11;8:11
36832;30020;9936;599.1044776119403;67;8:66,1:1
3920;32915;1499;162.0;25;14:25
3920;8166;490;119.53846153846153;26;14:26
10211;28116;1124;147.73584905660377;53;12:53
36836;29624;2398;192.0;11;11:11
36836;11236;3843;396.0;1;11:1
36836;14899;3841;324.0;8;9:8
36836;8020;1546;132.24324324324326;74;10:3,11:71
34982;26040;2799;240.0;22;4:22
19430;30024;1157;102.3896103896104;77;10:77
19430;30020;1152;116.0;6;10:1,7:5
19431;6243;1225;96.0;75;10:75
19432;30020;1144;98.42647058823529;136;8:69,7:67
19433;38796;8862;528.140625;128;8:58,7:70
39079;8745;4152;224.85714285714286;21;8:21
39079;8743;4152;228.0;2;8:2
25585;10887;971;88.0;3;7:3
25586;37096;872;89.83333333333333;72;7:72
25587;10887;972;96.0;69;7:69
24745;30020;10471;754.75;4;3:4
24745;38797;1172;179.0;1;3:1
24745;30022;10455;718.9642857142857;28;3:28
35832;11099;19643;840.0;16;1:16
35832;34571;29565;1328.0;9;1:8,1161:1
35832;11098;19644;780.0;1;1189:1
35832;12474;2389;191.68571428571428;35;8:35
33785;35965;1949;131.86363636363637;44;9:1,10:20,13:23
33785;35967;1947;132.0;58;9:58
33788;30056;1917;132.0;1;9:1
33788;30055;1917;120.0;105;9:60,10:23,13:22
24746;31693;1157;119.04545454545455;22;12:22
