from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
13475;11097;2767;210.85714285714286;56;8:55,13:1
13475;11099;2768;270.0;3;8:2,13:1
39076;8745;4153;228.0;1;8:1
39076;8743;4152;231.33333333333334;54;8:54
24741;34773;41380;2600.0;3;1176:1,1184:1,1178:1
24741;30022;10422;720.0;2;1162:1,1166:1
39078;35832;7460;390.0;2;8:2
39078;35833;7460;412.0;3;8:3
39078;3578;1678;120.0;6;8:6
39078;35831;7463;390.0;1;8:1
24744;38797;1172;178.0;1;4:1
24744;30022;10448;718.0;2;3:2
39081;35832;7459;390.0;1;8:1
39081;3578;1678;118.875;64;8:64
39081;8743;4154;287.0;2;8:2
10410;37308;1043;94.32;25;3:25
38502;11300;2419;170.36065573770492;61;8:44,13:17
10414;30793;2857;209.36170212765958;47;12:47
19632;2532;1583;153.42857142857142;7;9:7
19632;2533;1583;150.0;52;9:52
19632;423;3180;252.0;2;9:2
19635;5080;1471;108.19672131147541;61;9:61
19635;5081;1474;144.0;2;9:2
3552;9776;2000;239.0;24;13:24
3552;18442;1840;210.0;1;10:1
3552;18439;1846;215.83783783783784;74;10:74
2234;7993;3761;295.75;24;3:24
28859;13944;1942;156.0;70;6:70
28860;13944;1939;150.0;1;6:1
28860;29938;3359;216.21951219512195;82;6:82
28861;30338;7881;621.6;5;3:5
28861;30339;7882;628.5;40;3:40
28862;4003;1909;180.0;1;7:1
28862;4005;1909;179.0151515151515;66;7:66
28863;4003;1914;128.85714285714286;42;3:40,7:2
28863;4005;1914;172.5;4;3:1,7:3
28863;30021;11005;660.0;2;3:2
28863;30023;11008;630.0;1;3:1
38084;12424;1962;162.0;121;8:46,10:75
38084;18440;4587;330.0;1;8:1
38084;18442;4582;330.0;12;8:12
38084;23580;1456;172.8;5;10:1,11:4
38084;34574;6329;478.0;24;8:24
18629;6886;2021;139.79562043795622;137;10:71,11:42,13:24
18807;27321;1207;113.50588235294117;85;10:3,11:82
24099;13329;1288;144.0;74;6:74
